"x"
"1","Aerospace & Defense"
"2","Automotive"
"3","Banking & Finance"
"4","Broadcasting & Media"
"5","Cable"
"6","Chemical"
"7","Computers & Electronics"
"8","Consumer Products"
"9","Energy"
"10","Farming & Agriculture"
"11","Food, Beverage & Tobacco"
"12","Gaming, Lodging & Restaurant"
"13","Gaming, Lodging & Restaurants"
"14","Healthcare & Pharmaceutical"
"15","Industrial / Manufacturing"
"16","Insurance"
"17","Leisure & Entertainment"
"18","Metals & Mining"
"19","Miscellaneous"
"20","Paper & Forest Products"
"21","Retail"
"22","Telecommunication"
"23","Textiles & Furniture"
"24","Transportation"
"25","Utilities"
"26","Building & Materials"
"27","Building & Materials "
"28","Environmental"
"29","Supermarkets & Drug Stores"
